V1,V2,V3,V4
AA0,60,30,6
AA2,86,6,4
AA4,67,23,6
AA7,66,23,7
AA9,76,11,9
AC0,96,0,0
AC1,91,4,1
AC2,55,25,16
AC7,90,4,2
AC8,89,6,1
AC9,43,40,13
AD0,95,0,1
AD3,66,16,14
AD5,80,12,4
AD6,54,34,8
AD7,56,33,7
AD8,81,14,1
AE1,62,27,7
AE6,87,7,2
AE8,24,47,25
AF3,70,24,2
AF4,66,24,6
AF5,13,66,17
AF9,67,26,3
AG1,73,18,5
AH0,71,18,7
AH1,73,20,3
AH6,51,42,3
AH9,32,46,18
AI1,82,12,2
AI2,51,32,13
AI5,62,25,9
AI7,73,23,0
AJ5,85,8,3
AK4,71,23,2
AK6,82,12,2
AK9,37,42,17
AL1,52,28,16
AL4,69,20,7
AL7,55,26,15
AL8,66,26,4
AM2,63,26,7
AN0,76,17,3
AN1,67,22,7
AN3,55,32,9
AN9,50,38,8
AP0,75,18,3
AP8,78,17,1
AP9,90,4,2
AQ5,81,13,2
AQ6,78,13,5
AQ9,95,0,1
AR1,62,31,3
AR4,90,6,0
AR5,64,26,6
AR6,59,31,6
AR9,74,20,2
AS2,94,2,0
AS5,35,53,8
AS6,96,0,0
AT5,57,29,10
AT8,93,2,1
AU2,85,7,4
AV2,54,33,9
AW0,70,25,1
AW3,82,9,5
AW7,91,3,2
AX0,89,7,0
AX1,37,48,11
AX5,84,10,2
AX6,84,11,1
AX7,77,18,1
AY0,52,36,8
AY5,82,12,2
AY9,61,31,4
AZ1,88,4,4
AZ4,75,15,6
BA0,51,37,8
BA2,84,10,2
BA4,81,8,7
BA7,90,4,2
BA9,81,8,7
BB0,34,48,14
BC0,96,0,0
BC1,86,10,0
BC2,66,21,9
BC7,93,2,1
BC9,63,27,6
BD3,65,25,6
BD5,92,4,0
BD6,68,22,6
BD7,61,28,7
BD8,87,8,1
BE1,83,10,3
BE6,84,9,3
BE8,30,38,28
BF3,84,12,0
BF4,62,27,7
BF5,66,24,6
BF9,78,17,1
BG0,65,23,8
BH0,68,22,6
BH1,78,15,3
BH6,50,33,13
BH7,88,8,0
BH9,57,29,10
BI1,94,2,0
BI5,83,8,5
BI7,80,15,1
BJ5,85,10,1
BK4,88,8,0
BK6,81,13,2
BK8,91,4,1
BL1,55,35,6
BL4,74,16,6
BL7,81,10,5
BL8,76,18,2
BN0,74,18,4
BN1,88,6,2
BN3,87,8,1
BN9,73,19,4
BP0,80,15,1
BP8,80,15,1
BP9,89,6,1
BQ6,88,4,4
BQ9,93,2,1
BR1,80,13,3
BR4,89,5,2
BR5,78,13,5
BR6,58,35,3
BR9,94,2,0
BS2,96,0,0
BS5,59,31,6
BS6,90,6,0
BT5,65,26,5
BT8,94,2,0
BU2,96,0,0
BV2,58,22,16
BW0,78,18,0
BW3,84,11,1
BW7,86,7,3
BX0,93,2,1
BX1,43,43,10
BX5,90,6,0
BX6,75,19,2
BX7,82,12,2
BXX,96,0,0
BY0,68,23,5
BY5,94,2,0
BY9,66,22,8
BZ1,79,13,4
BZ4,90,4,2
